PATRIC 2044938.8 Absconditabacteria 33 soda lake,None
D31 L19 wastewater,None
wastewater Absconditabacteria 33 1 curated wastewater,None
19 LumberBridge sub10 Maybe SR1 34 6 cyanobacterial mat,None
PH2017 17 BER D A full SR-1 test 32 6 cyanobacterial mat,None
ph2015 02 Absconditabacteria SR1 33 7 curated cyanobacterial mat,None
PATRIC 1643353.28 Absconditabacteria 33 bioreactor,None
wastewater possibly Absconditabacteria 33 1 wastewater,None
wastewater Absconditabacteria 38 1 wastewater,None
PATRIC 2044938.10 Absconditabacteria 37 soda lake,None
PATRIC 2044938.9 Absconditabacteria 34 soda lake,None
GTDB GCA002414185.1 Absconditabacteria 31 river sediment,None
SR1 RAAC1 aquifer sediment,None
CG 4 9 14 3 um filter 150 SR1 40 9 groundwater,None
Mehrshad2020 Modernmarine.mb.230 Absconditabacteria 34 groundwater,None
GD2017-1 manure QB3 180125 SR1 candidate 33 10 dairy pond,None
ALUMROCK MS4 SR1 33 49 curated groundwater,None
NCBI GCA003488625.1 Gracilibacteria 35 groundwater,None
PATRIC 2044938.5 Absconditabacteria 32 animal oral,None
GTDB GCA002361595.1 Absconditabacteria 30 animal gut,None
TERM1 SALIVA Absconditabacteria SR1 36 29 table25 human oral,None
Shaiber2019 SR1MAGIVA2 Absconditabacteria 38 human oral,None
PATRIC 1540874.3 Absconditabacteria 38 human oral,None
Shaiber2020 ORALPBFBin00032 Absconditabacteria 39 human oral,None
NCBI GCA013333295.2 Absconditabacteria 35 human oral,None
NCBI GCA013333605.2 Absconditabacteria 36 human oral,None
Shaiber2020 ORALPCFBin00011 Absconditabacteria 36 human oral,None
IMG 2517572135 Absconditabacteria 36 human oral,None
NCBI GCA013333915.2 Absconditabacteria 36 human oral,None
ACD3 groundwater,GRA1
ACD4 groundwater,GRA1
ACD49 groundwater,GRA1
GTDB GCA002335145.1 Gracilibacteria 53 bioreactor,GRA1
PATRIC 1805211.18 Gracilibacteria 37 groundwater,GRA1
PATRIC 2044595.17 Gracilibacteria 42 groundwater,GRA1
CG18 big fil WC 8 21 14 2 50 CG GN02 01 38 16 groundwater,GRA1
PATRIC 1805210.18 Gracilibacteria 38 groundwater,GRA1
GTDB GCA002426885.1 Gracilibacteria 43 wastewater,GRA1
PATRIC 2044595.20 Gracilibacteria 38 wastewater,GRA1
PATRIC 2044595.12 Gracilibacteria 35 animal oral,GRA1
NCBI GCA013332525.2 Gracilibacteria 37 human oral,GRA1
PATRIC 1914866.3 Gracilibacteria 37 human oral,GRA1
wastewater Gracilibacteria 37 1 curated wastewater,GRA1
NCBI GCA013268835.1 Gracilibacteria 36 water treatment,GRA1
NCBI GCA014377245.1 Gracilibacteria 41 glacier ice,GRA1
NCBI GCA014377305.1 Gracilibacteria 42 glacier ice,GRA1
Alum Rock 2019 MS4 BD1-5-probably 22 121 groundwater,GRA2
GTDB GCA002470645.1 Gracilibacteria 26 wastewater,GRA2
CG 2015-13 Gracilibacteria 32 15 curated groundwater,GRA2
PATRIC 2044595.24 Gracilibacteria 37 sediment,GRA2
PATRIC 2044595.33 Gracilibacteria 26 biopolymer,GRA2
AR 2015 2-01 BD1-5 23 23 curated groundwater,GRA2
AR 2015 2-065 BD1-5 24 8 curated groundwater,GRA2
GTDB GCA002412935.1 Gracilibacteria 24 hydrocarbon,GRA2
PATRIC 2044595.21 Gracilibacteria 26 dairy pond,GRA2
GTDB GCA002435385.1 Gracilibacteria 27 river sediment,GRA2
PATRIC 1130342.4 Gracilibacteria 23 seawater,GRA2
IMG 2634166888 Gracilibacteria 26 hydrothermal vent,GRA2
IMG 2636415965 Gracilibacteria 26 hydrothermal vent,GRA2
DOLJORAL78 BD1-5 24 7 animal oral,GRA2
IMG 2747842438 Gracilibacteria 24 marine mat,GRA2
BD02T64 BD1-5 ocean oil seep,GRA2
GTDB GCA002422305.1 Gracilibacteria 21 hydrocarbon,GRA2
zodeltone water Bacteria maybe BD1-5 23 2301 groundwater,GRA2
ALUMROCK MS4 BD1-5 23 16 curated groundwater,GRA2
NCBI GCA013368515.1 Gracilibacteria 24 bioreactor,GRA2
PATRIC 1912928.3 Gracilibacteria 25 human oral,GRA2
Shaiber2019 GN02MAGIVB1 Gracilibacteria 25 human oral,GRA2
NCBI GCA013333755.2 Gracilibacteria 25 human oral,GRA2
PATRIC 1540872.6 Gracilibacteria 25 human oral,GRA2
Shaiber2019 GN02MAGIVB2 Gracilibacteria 25 human oral,GRA2
GTDB GCA004297735.1 Saccharibacteria 52 groundwater,None
GTDB GCA002413465.1 Saccharibacteria 54 permafrost,None
GTDB GCA002415345.1 Saccharibacteria 55 permafrost,None
NCBI GCA013816445.1 Saccharibacteria 40 soil,None
alan book 18 Saccharibacteria-like 48 71 groundwater,None
NCBI GCA014191035.1 Saccharibacteria 39 lake,None
PATRIC 2026720.84 Saccharibacteria 43 lake,None
PATRIC 2026720.79 Saccharibacteria 47 soda lake,None
QS 8 TM7 54 8 salt crust,None
QS 5 TM7 54 17 salt crust,None
SW 7 TM7 54 9 salt crust,None
AWTP-2 inf bulk 2 Saccharibacteria 41 95 wastewater,None
wastewater Saccharibacteria 41 1 wastewater,None
PATRIC 2026720.126 Saccharibacteria 43 hydrothermal vent,None
