seqname,tax_id
RS_GCF_000970205.1,s__Methanosarcina_mazei
GB_GCA_003162175.1,s__Bog-38_sp003162175
RS_GCF_000022385.1,s__Saccharolobus_islandicus
GB_GCA_900083515.1,s__Cuniculiplasma_divulgatum
GB_GCA_002498385.1,s__Methanobacterium_C_sp002498385
GB_GCA_002498845.1,s__UBA509_sp002498845
GB_GCA_002499445.1,s__Methanosarcina_sp002499445
RS_GCF_000016525.1,s__Methanobrevibacter_A_smithii
GB_GCA_002508705.1,s__Methanoculleus_sp002508705
GB_GCA_002498365.1,s__VadinCA11_sp002498365
GB_GCA_002495685.1,s__UBA412_sp002495685
GB_GCA_002499585.1,s__MGIIb-N1_sp002499585
GB_GCA_002504525.1,s__DTU008_sp002504525
GB_GCA_002502175.1,s__MGIIb-O1_sp002502175
RS_GCF_000016605.1,s__Metallosphaera_sedula
GB_GCA_002789275.1,s__Huberarchaeum_crystalense
RS_GCF_000204415.1,s__Methanothrix_soehngenii
RS_GCF_001488575.1,s__Halobacterium_hubeiense
GB_GCA_002501845.1,s__Nitrososphaera_sp002501845
GB_GCA_001889985.1,s__Micrarchaeum_acidiphilum
GB_GCA_002714305.1,s__Poseidonia_sp002714305
GB_GCA_002698145.1,s__MGIIa-L2_sp002698145
GB_GCA_002737455.1,s__Nitrosopumilus_sp002737455
RS_GCF_000979455.1,s__Methanosarcina_sp000979455
RS_GCF_000969885.1,s__Methanosarcina_thermophila
GB_GCA_002789635.1,s__CG10238-14_sp002789635
RS_GCF_001719125.1,s__Saccharolobus_sp001719125
GB_GCA_002503205.1,s__UBA447_sp002503205
RS_GCF_002945325.1,s__Methanococcus_maripaludis
GB_GCA_002505695.1,s__MGIIb-N1_sp002505695
RS_GCF_000011085.1,s__Haloarcula_marismortui
GB_GCA_002719395.1,s__MGIIa-K2_sp002719395
GB_GCA_003019535.1,s__ECH-B-1_sp003019535
GB_GCA_002792915.1,s__UBA93_sp002792915
GB_GCA_001602645.1,s__Methanothrix_A_sp001602645
GB_GCA_002792635.1,s__CG1-02-35-32_sp002792635
GB_GCA_002762735.1,s__GW2011-AR1_sp002762735
GB_GCA_002506425.1,s__UBA71_sp002506425
GB_GCA_002498455.1,s__MGIIb-P_sp002498455
GB_GCA_002499525.1,s__Nitrosotenuis_sp002499525
GB_GCA_000380705.1,s__SCGC-AAA471-B05_sp000380705
GB_GCA_001628485.1,s__MGIIb-O3_sp001628485
GB_GCA_013330825.1,s__GW2011-AR11_sp12027u
GB_GCA_002504905.1,s__MGIIb-O2_sp002504905
GB_GCA_001316325.1,s__Methanobacterium_formicicum
GB_GCA_002729095.1,s__MGIIa-L1_sp002729095
GB_GCA_002503055.1,s__Thalassarchaeum_sp002503055
GB_GCA_003193925.1,s__Thalassarchaeum_betae
GB_GCA_002503885.1,s__Methanoculleus_marisnigri_B
GB_GCA_002730095.1,s__MGIIb-O5_sp002730095
RS_GCF_001402945.1,s__Acidiplasma_aeolicum
GB_GCA_001873845.1,s__Altarchaeum_sp001873845
RS_GCF_000711905.1,s__Methermicoccus_shengliensis
GB_GCA_002507545.1,s__Archaeoglobus_sp002507545
RS_GCF_000008645.1,s__Methanothermobacter_thermautotrophicus
GB_GCA_002499195.1,s__MGIIa-L2_sp002499195
GB_GCA_002502045.1,s__Parvarchaeum_sp002502045
GB_GCA_002499405.1,s__UBA95_sp002499405
GB_GCA_002686525.1,s__MGIIb-O2_sp002686525
RS_GCF_000304355.2,s__Methanoculleus_bourgensis
GB_GCA_001627235.1,s__Nitrosopelagicus_sp001627235
RS_GCF_000008665.1,s__Archaeoglobus_fulgidus
RS_GCF_000970025.1,s__Methanosarcina_barkeri
GB_GCA_002504845.1,s__MGIIb-N1_sp002504845
GB_GCA_002505455.1,s__MGIIb-N1_sp002505455
GB_GCA_013331795.1,s__GW2011-AR17_sp10136u
GB_GCA_001917995.1,s__Nitrosotalea_sp001917995
RS_GCF_000320505.1,s__Methanobrevibacter_B_boviskoreani
RS_GCF_000007225.1,s__Pyrobaculum_aerophilum
GB_GCA_002687075.1,s__MGIIa-L1_sp002687075
GB_GCA_013330285.1,s__MGIIa-L1_sp8160u
RS_GCF_000336775.1,s__Haloferax_gibbonsii
GB_GCA_003019595.1,s__BE-D_sp003019595
GB_GCA_002494625.1,s__Archaeoglobus_A_sp002494625
GB_GCA_003162615.1,s__Fen-7_sp003162615
GB_GCA_000495735.1,s__Acidilobus_sp000495735
RS_GCF_000235565.1,s__Methanothrix_A_harundinacea_E
GB_GCA_002498725.1,s__MGIIb-O1_sp002498725
GB_GCA_013329905.1,s__MGIIb-O1_sp8684u
GB_GCA_002499345.1,s__MGIIb-O5_sp002499345
GB_GCA_002722135.1,s__MGIIa-L3_sp002722135
GB_GCA_005798405.1,s__Nitrosarchaeum_sp005798405
GB_GCA_002501605.1,s__MGIIb-O5_sp002501605
GB_GCA_002720095.2,s__MGIIa-I_sp002720095
GB_GCA_013329045.1,s__UBA9989_sp9989u
GB_GCA_900314605.1,s__Methanobrevibacter_B_sp900314605
GB_GCA_002763115.1,s__CG1-02-31-27_sp002763115
RS_GCF_001481295.1,s__Methanomethylophilus_sp001481295
GB_GCA_003352285.1,s__Cenarchaeum_sp003352285
GB_GCA_013331945.1,s__UBA12030_sp10106u
GB_GCA_003166335.1,s__Methanobacterium_A_sp003166335
GB_GCA_013329055.1,s__GW2011-AR13_sp9966u
RS_GCF_000012545.1,s__Methanosphaera_stadtmanae
GB_GCA_001437625.1,s__Nitrosopumilus_sp001437625
GB_GCA_001915065.1,s__40CM-2-53-6_sp001915065
GB_GCA_002506535.1,s__Methanothrix_A_harundinacea_B
GB_GCA_002497025.1,s__MGIIb-O1_sp002497025
GB_GCA_900314635.1,s__Methanobrevibacter_sp900314635
GB_GCA_013330595.1,s__UBA9642_sp12459u
GB_GCA_002497895.1,s__MGIIb-O1_sp002497895
GB_GCA_002762865.1,s__CG1-02-33-12_sp002762865
GB_GCA_002495905.1,s__UBA57_sp002495905
RS_GCF_000404225.1,s__Methanomassiliicoccus_intestinalis
GB_GCA_001872185.1,s__PFCU01_sp001872185
GB_GCA_000402515.1,s__SCGC-AAA011-G17_sp000402515
GB_GCA_002501775.1,s__UBA581_sp002501775
RS_GCF_003814835.1,s__Methanobrevibacter_A_gottschalkii
RS_GCF_000430485.1,s__Thermococcus_A_sp000430485
GB_GCA_002498525.1,s__MGIIb-O1_sp002498525
RS_GCF_900111645.1,s__Methanococcoides_vulcani
RS_GCF_000376965.1,s__Methanothermococcus_thermolithotrophicus
GB_GCA_002688315.1,s__UBA492_sp002688315
GB_GCA_013331695.1,s__UBA12501_sp10192u
RS_GCF_001639275.1,s__Methanobrevibacter_A_oralis
GB_GCA_005877075.1,s__TA-21_sp005877075
GB_GCA_003157895.1,s__Methanoregula_sp003157895
GB_GCA_002726495.1,s__Poseidonia_sp002726495
RS_GCF_000328665.1,s__Methanomethylovorans_hollandica
GB_GCA_002506875.1,s__MGIIb-N2_sp002506875
GB_GCA_013331635.1,s__GW2011-AR9_sp10194u
GB_GCA_001629235.1,s__MGIIb-O3_sp001629235
GB_GCA_001593925.1,s__B26-1_sp001593925
RS_GCF_000970085.1,s__Methanosarcina_siciliae
GB_GCA_000496135.1,s__GCA-000496135_sp000496135
RS_GCF_003947435.1,s__Methanodesulfokores_washburnensis
GB_GCA_003162115.1,s__Methanobacterium_B_sp003162115
GB_GCA_002498375.1,s__Methanocorpusculum_sp002498375
GB_GCA_002499865.1,s__MGIIb-O5_sp002499865
GB_GCA_002497765.1,s__Poseidonia_sp002497765
GB_GCA_001871535.1,s__UBA8471_sp001871535
GB_GCA_002494725.1,s__Geoglobus_sp002494725
GB_GCA_002498985.1,s__MGIIb-O2_sp002498985
GB_GCA_002702945.1,s__MGIIa-L1_sp002702945
GB_GCA_002495055.1,s__Methanoregula_sp002495055
RS_GCF_004916945.1,s__Salinigranum_sp004916945
RS_GCF_002077075.2,s__Thermoproteus_sp002077075
GB_GCA_002724775.1,s__CG-Epi1_sp002724775
GB_GCA_003724275.1,s__Cenarchaeum_sp003724275
GB_GCA_002712285.1,s__MGIIb-N2_sp002712285
GB_GCA_003838185.1,s__Methanocalculus_sp003838185
GB_GCA_900248165.1,s__Nitrosocaldus_cavascurensis
RS_GCF_000513855.1,s__Desulfurococcus_amylolyticus
GB_GCA_001587595.1,s__Methanofastidiosum_sp001587595
GB_GCA_002505185.1,s__Ferroplasma_sp002505185
RS_GCF_000196895.1,s__Halalkalicoccus_jeotgali
GB_GCA_001717035.1,s__Methanomethylicus_mesodigestum
RS_GCF_000300255.2,s__Methanomethylophilus_alvus
GB_GCA_002763335.1,s__CG1-02-47-18_sp002763335
RS_GCF_002214545.1,s__Thermococcus_thioreducens
GB_GCA_001509375.1,s__Methanothrix_A_harundinacea_D
GB_GCA_002496955.1,s__MGIIa-L1_sp002496955
GB_GCA_002687935.1,s__UBA55_sp002687935
GB_GCA_002502625.1,s__MGIIb-N2_sp002502625
GB_GCA_005879065.1,s__RBG-16-68-12_sp005879065
GB_GCA_003021785.1,s__CBA1134_sp003021785
GB_GCA_001507955.1,s__Methanothermobacter_A_sp001507955
GB_GCA_002505405.1,s__Poseidonia_alphae
RS_GCF_001011115.1,s__Halanaeroarchaeum_sulfurireducens
GB_GCA_003568775.1,s__Nanoclepta_minutus
GB_GCA_013330015.1,s__MGIIa-L2_sp8574u
GB_GCA_002497965.1,s__Methanoculleus_sp002497965
GB_GCA_003661385.1,s__B14-G2_sp003661385
RS_GCF_000685155.1,s__Methanoperedens_nitroreducens
GB_GCA_000830295.1,s__GW2011-AR15_sp000830295
GB_GCA_004347965.1,s__WYZ-LMO8_sp004347965
GB_GCA_005888735.1,s__BA-19_sp005888735
GB_GCA_002506905.1,s__UBA328_sp002506905
GB_GCA_002010305.1,s__JdFR-42_sp002010305
GB_GCA_002710015.1,s__MGIIa-K1_sp002710015
GB_GCA_003553085.1,s__PWKY01_sp003553085
RS_GCF_001886955.1,s__Halodesulfurarchaeum_formicicum
GB_GCA_001786415.1,s__RBG-13-33-26_sp001786415
GB_GCA_003650815.1,s__B15-G2_sp003650815
GB_GCA_003649515.1,s__B14-G17_sp003649515
GB_GCA_002723635.1,s__MGIIa-L3_sp002723635
RS_GCF_000007305.1,s__Pyrococcus_furiosus
GB_GCA_007129655.1,s__SKVC01_sp007129655
GB_GCA_003649665.1,s__B3-G16_sp003649665
GB_GCA_003164815.1,s__BOG-1369_sp003164815
GB_GCA_004348015.1,s__WYZ-LMO11_sp004348015
GB_GCA_002697705.1,s__MGIIa-L1_sp002697705
RS_GCF_000765475.1,s__Methanococcoides_methylutens
GB_GCA_002731655.1,s__UBA8886_sp002731655
RS_GCF_003116855.1,s__AG1_sp003116855
GB_GCA_001717025.1,s__Methanomethylicus_oleusabulum
GB_GCA_002067035.1,s__Methanoregula_sp002067035
GB_GCA_002499545.1,s__MGIIa-L1_sp002499545
RS_GCF_000091665.1,s__Methanocaldococcus_jannaschii
RS_GCF_000025665.1,s__Aciduliprofundum_boonei
RS_GCF_000195895.1,s__Methanosarcina_barkeri_B
RS_GCF_000371805.1,s__Methanocaldococcus_A_villosus
GB_GCA_002499905.1,s__UBA9949_sp002499905
RS_GCF_000025625.1,s__Natrialba_magadii
RS_GCF_002214365.1,s__Thermococcus_celer
GB_GCA_002172355.2,s__MGIIa-L1_sp002172355
GB_GCA_003565715.1,s__Methanolobus_sp003565715
GB_GCA_001399795.1,s__BA2_sp001399795
GB_GCA_002256595.1,s__Methanothrix_sp002256595
RS_GCF_000011205.1,s__Sulfurisphaera_tokodaii
GB_GCA_004212035.1,s__Methanonatronarchaeum_sp004212035
GB_GCA_003601785.1,s__PIYA01_sp003601785
GB_GCA_001512375.1,s__Methanoculleus_thermohydrogenotrophicum
GB_GCA_005877365.1,s__UBA183_sp005877365
GB_GCA_007131205.1,s__PWWA01_sp007131205
GB_GCA_002495885.1,s__UBA148_sp002495885
RS_GCF_000474235.1,s__Halarchaeum_acidiphilum
GB_GCA_013329165.1,s__Methanocalculus_sp9912u
GB_GCA_005878385.1,s__RBG-16-68-12_sp005878385
GB_GCA_013331925.1,s__UBA10191_sp10036u
GB_GCA_003649495.1,s__B17-G15_sp003649495
GB_GCA_000204585.1,s__Nitrosarchaeum_limnae
GB_GCA_003158275.1,s__Bog-38_sp003158275
RS_GCF_000148385.1,s__Vulcanisaeta_distributa
RS_GCF_005155585.1,s__Haloprofundus_sp005155585
RS_GCF_000013445.1,s__Methanospirillum_hungatei
GB_GCA_002011165.1,s__JdFR-21_sp002011165
GB_GCA_000496215.1,s__Halonotius_sp000496215
GB_GCA_002010195.1,s__Archaeoglobus_A_sp002010195
GB_GCA_002506755.1,s__MGIIb-O3_sp002506755
GB_GCA_001564255.1,s__Tc-Br11-E2g1_sp001564255
GB_GCA_000806155.1,s__GW2011-AR18_sp000806155
GB_GCA_003650925.1,s__B12-G16_sp003650925
RS_GCF_001592435.1,s__Thermococcus_peptonophilus
GB_GCA_003023165.1,s__Halosimplex_sp003023165
GB_GCA_003724325.1,s__Nitrosopumilus_sp003724325
GB_GCA_005223125.1,s__SOKP01_sp005223125
GB_GCA_013329575.1,s__Methanoliparum_sp8915u
GB_GCA_002499085.1,s__UBA147_sp002499085
GB_GCA_004376295.1,s__SOJZ01_sp004376295
RS_GCF_900114585.1,s__Methanobrevibacter_olleyae
GB_GCA_002499325.1,s__MGIIb-O5_sp002499325
RS_GCF_900114455.1,s__Halogranum_rubrum
GB_GCA_003601605.1,s__JdFR-07_sp003601605
GB_GCA_000565255.1,s__Aramenus_sulfurataquae
GB_GCA_002926195.1,s__HR1_sp002926195
GB_GCA_003838065.1,s__Methanocalculus_sp003838065
GB_GCA_000389735.1,s__Acd1_sp000389735
RS_GCF_002287235.1,s__Methanosarcina_spelaei
RS_GCF_003342695.1,s__Haloplanus_sp003342695
GB_GCA_013331805.1,s__UBA10161_sp10161u
GB_GCA_000494185.1,s__AWOC01_sp000494185
GB_GCA_002706615.1,s__MGIIa-K1_sp002706615
GB_GCA_007037745.1,s__Nitrosopelagicus_sp007037745
GB_GCA_002900555.1,s__SM1-50_sp002900555
GB_GCA_007128245.1,s__SKIA01_sp007128245
GB_GCA_003086415.1,s__Nanopusillus_stetteri_A
GB_GCA_000258425.1,s__Fervidicoccus_fontis
GB_GCA_003491285.1,s__UBA117_sp002494785
GB_GCA_002457555.1,s__MGIIb-O1_sp002457555
GB_GCA_002011035.1,s__JdFR-11_sp002011035
GB_GCA_001315825.1,s__Metallosphaera_hakonensis
GB_GCA_013329925.1,s__MGIIa-L1_sp8734u
GB_GCA_001871415.1,s__CG1-02-57-44_sp001871415
RS_GCF_000969905.1,s__Methanosarcina_vacuolata
GB_GCA_004347825.1,s__WYZ-LMO2_sp004347825
RS_GCF_003670115.1,s__Natronorubrum_sp003670115
GB_GCA_001871595.1,s__UBA97_sp001871595
RS_GCF_000017945.1,s__Ignicoccus_A_hospitalis
GB_GCA_003141855.1,s__PALSA-986_sp003141855
GB_GCA_002497285.1,s__UBA92_sp002497285
GB_GCA_002201895.1,s__Methanopyrus_sp002201895
RS_GCF_000237865.1,s__Haloquadratum_walsbyi
GB_GCA_002495645.1,s__Poseidonia_sp002495645
RS_GCF_000745485.1,s__Methanobacterium_D_veterum
GB_GCA_002779595.1,s__CG07-land_sp002779595
GB_GCA_003663525.1,s__Thermococcus_A_sp003663525
RS_GCF_000969965.1,s__Methanosarcina_sp000969965
GB_GCA_000494145.1,s__JGI-OTU-1_sp000494145
GB_GCA_002067755.1,s__Methanothrix_sp002067755
GB_GCA_002762705.1,s__CG08-08-20-14_sp002762705
GB_GCA_007118145.1,s__SKSH01_sp007118145
GB_GCA_002490245.1,s__B24-2_sp002490245
GB_GCA_002496725.1,s__MGIIb-O5_sp002496725
GB_GCA_001563875.1,s__B1-Br10-U2g19_sp001563875
GB_GCA_001766825.1,s__Syntropharchaeum_butanivorans
GB_GCA_003649145.1,s__B29-G17_sp003649145
GB_GCA_005878615.1,s__RBG-16-68-12_sp005878615
GB_GCA_003600755.1,s__UBA588_sp002509085
GB_GCA_005877305.1,s__TA-20_sp005877305
RS_GCF_000813245.1,s__Thermofilum_adornatus
RS_GCF_000186365.1,s__Desulfurococcus_mucosus
GB_GCA_013330975.1,s__UBA11855_sp11852u
RS_GCF_900095295.1,s__Methanobacterium_C_congolense
GB_GCA_003662765.1,s__B65-G9_sp003662765
GB_GCA_013330215.1,s__UBA12276_sp8261u
GB_GCA_000011125.1,s__Aeropyrum_pernix
GB_GCA_002696315.1,s__MGIIa-I_sp002696315
GB_GCA_003229935.1,s__BMS3B_sp003229935
RS_GCF_000970285.1,s__Methanosarcina_horonobensis
GB_GCA_002067795.1,s__MVQI01_sp002067795
RS_GCF_000213215.1,s__Acidianus_A_hospitalis
RS_GCF_000812185.1,s__Nitrosopelagicus_brevis
GB_GCA_001871475.1,s__CG1-02-47-40_sp001871475
RS_GCF_000513315.1,s__Methanobrevibacter_C_arboriphilus_A
GB_GCA_002496905.1,s__MGIIb-O1_sp002496905
GB_GCA_003663415.1,s__QMZY01_sp003663415
RS_GCF_004765795.1,s__Halorussus_sp004765795
GB_GCA_003554605.1,s__Halorubrum_sp003554605
GB_GCA_002505585.1,s__UBA489_sp002505585
GB_GCA_001871495.1,s__UBA8480_sp001871495
GB_GCA_001872315.1,s__CG1-02-39-14_sp001872315
GB_GCA_002502965.1,s__RumEn-M2_sp002502965
RS_GCF_002214605.1,s__Pyrococcus_chitonophagus
GB_GCA_002923215.1,s__SZUA-236_sp002923215
GB_GCA_002503135.1,s__UBA207_sp002503135
GB_GCA_005878635.1,s__RBG-16-68-12_sp005878635
GB_GCA_002687355.1,s__UBA8886_sp002687355
GB_GCA_002720275.1,s__MGIIa-I_sp002720275
GB_GCA_000007185.1,s__Methanopyrus_kandleri
GB_GCA_013330385.1,s__MGIIb-O1_sp12570u
GB_GCA_003663175.1,s__QMZM01_sp003663175
GB_GCA_001920395.1,s__Nitrosotalea_sp001920395
GB_GCA_000830275.1,s__GW2011-AR10_sp000830275
GB_GCA_002495025.1,s__UBA285_sp002495025
RS_GCF_004799665.1,s__Halapricum_salinum
GB_GCA_002502785.1,s__Methanothrix_A_harundinacea_A
GB_GCA_002503285.1,s__MGIIb-O3_sp002503285
GB_GCA_003551675.1,s__PWHR01_sp003551675
RS_GCF_000019605.1,s__Korarchaeum_cryptofilum
GB_GCA_000007345.1,s__Methanosarcina_acetivorans
RS_GCF_001412615.1,s__Pyrodictium_delaneyi
GB_GCA_002509095.1,s__Methanosphaera_sp002509095
RS_GCF_000336675.1,s__Halococcus_hamelinensis
GB_GCA_002507425.1,s__MGIIa-K1_sp002507425
GB_GCA_000591035.1,s__Aeropyrum_camini
RS_GCF_000151105.2,s__Thermococcus_B_barophilus
GB_GCA_002728035.1,s__Poseidonia_sp002728035
GB_GCA_013329175.1,s__UBA11716_sp9638u
GB_GCA_001593865.1,s__B24_sp001593865
GB_GCA_001564205.1,s__Halorubrum_sp001564205
GB_GCA_007122455.1,s__Natronomonas_sp007122455
GB_GCA_003194425.1,s__ANME1a_sp003194425
RS_GCF_001571405.1,s__Methanoculleus_thermophilus
GB_GCA_003170935.1,s__Bog-38_sp003170935
GB_GCA_003022865.1,s__SW-7-71-33_sp003022865
GB_GCA_002713325.1,s__UBA213_sp002713325
RS_GCF_003149675.1,s__Methanosphaera_cuniculi
RS_GCF_001663375.1,s__Caldivirga_sp001663375
RS_GCF_900176435.1,s__Picrophilus_oshimae
RS_GCF_000011105.1,s__Pyrococcus_horikoshii
GB_GCA_007133845.1,s__CSSed11-243R1_sp007133845
GB_GCA_003194445.1,s__UBA203_sp003194445
RS_GCF_000013725.1,s__Methanococcoides_burtonii
RS_GCF_000258515.1,s__Thermococcus_zilligii
GB_GCA_002506605.1,s__UBA160_sp002506605
GB_GCA_001800815.1,s__COMBO-56-21_sp001800815
GB_GCA_002067315.1,s__Methanocella_A_sp002067315
GB_GCA_002509745.1,s__UBA349_sp002509745
GB_GCA_003601725.1,s__B63_sp003601725
RS_GCF_003268005.1,s__Methanosphaera_sp003268005
GB_GCA_013331625.1,s__UBA10205_sp10205u
RS_GCF_000264495.1,s__Thermogladius_calderae
GB_GCA_002498605.1,s__VadinCA11_sp002498605
GB_GCA_002499705.1,s__MGIIa-L1_sp002499705
GB_GCA_002718695.1,s__MGIIb-O3_sp002718695
GB_GCA_013331415.1,s__UBA9949_sp10516u
RS_GCF_000306725.1,s__Methanolobus_psychrophilus
GB_GCA_002855745.1,s__Thermofilum_A_sp002855745
GB_GCA_005888675.1,s__BA-13_sp005888675
GB_GCA_003022925.1,s__Halococcus_sp003022925
GB_GCA_005884195.1,s__40CM-2-53-6_sp005884195
GB_GCA_000246735.1,s__MGIIa-L1_sp000246735
