name	bin length	GC%	# contigs	# features	revised_tax	Genbank Accession	Biosample Accession	Other Accession	scg	completeness	contamination
BJP_IG2102_PER_44_74_final	998424	43.35	1	886	Peregrinibacteria	None	SAMN06767743	None	42	0.9767	0.0
BJP_08E140C01_Falkowbacteria_33_19_curated	909499	32.96	5	897	Falkowbacteria	None	SAMN06767687	None	42	0.9767	0.0233
BJP_IG2103_TM7_39_1400_curated	1095022	39.63	26	1130	Saccharibacteria	None	SAMN06767748	None	41	0.9535	0.0
UBA661	827545	45.01	34	806	Kaiserbacteria	DBNX00000000	None	None	40	0.9302	0.0
UBA669	691616	50.96	54	804	Saccharibacteria	DBNP00000000	None	None	34	0.7907	0.0
UBA910	586159	38.35	68	654	Zambryskibacteria	DBEI00000000	None	None	33	0.7674	0.0
UBA917	732067	42.46	54	760	Falkowbacteria	DBEB00000000	None	None	42	0.9767	0.0233
UBA918	726984	51.91	19	786	Kaiserbacteria	DBEA00000000	None	None	39	0.907	0.0
UBA922	926600	41.4	15	913	Magasanikbacteria	DBDW00000000	None	None	41	0.9535	0.0
UBA924	1196548	44.58	31	1219	Pacebacteria	DBDU00000000	None	None	39	0.907	0.0
UBA1006	695479	37.03	28	814	Nomurabacteria	DBAQ00000000	None	None	40	0.9302	0.0
UBA1050	928438	47.18	3	997	Saccharibacteria	DCDR00000000	None	None	41	0.9535	0.0
UBA1302	639479	46.05	60	708	Moranbacteria	DBUA00000000	None	None	37	0.8605	0.0
UBA1359	699865	38.65	5	681	Falkowbacteria	DBRV00000000	None	None	43	1.0	0.0
UBA1370	822578	47.59	35	871	Pacebacteria	DBRK00000000	None	None	41	0.9535	0.0
UBA1388	938716	40.6	38	922	Pacebacteria	DBQS00000000	None	None	37	0.8605	0.0
UBA1397	728200	34.12	27	796	WWE3	DBQJ00000000	None	None	37	0.8605	0.0
UBA1400	1027614	36.68	52	1123	Beckwithbacteria	DBQG00000000	None	None	35	0.814	0.0233
UBA1401	846488	40.33	6	906	WWE3	DBQF00000000	None	None	38	0.8837	0.0233
UBA1406	936345	52.35	7	1011	Roizmanbacteria	DBQA00000000	None	None	40	0.9302	0.0
UBA1420	513459	38.31	53	606	Shapirobacteria	DBPM00000000	None	None	36	0.8372	0.0
UBA1430	594111	39.31	11	691	Woesebacteria	DCTW00000000	None	None	37	0.8605	0.0
UBA1435	799308	46.58	48	958	Shapirobacteria	DCTR00000000	None	None	35	0.814	0.0
UBA1449	1192622	40.44	113	1367	Beckwithbacteria	DCTD00000000	None	None	37	0.8605	0.0233
UBA1566	1002469	40.94	43	1016	Magasanikbacteria	DCOQ00000000	None	None	39	0.907	0.0
UBA1594	959870	48.15	27	1033	Saccharibacteria	DCNO00000000	None	None	42	0.9767	0.0
UBA1932	860108	53.15	14	886	Saccharibacteria	DDFI00000000	None	None	40	0.9302	0.0233
UBA1944	949626	48.56	20	1030	Saccharibacteria	DDEW00000000	None	None	42	0.9767	0.0233
UBA2018	875411	49.91	3	973	Saccharibacteria	DDCA00000000	None	None	41	0.9535	0.0
UBA2022	817383	37.88	22	856	Dojkabacteria	DDBW00000000	None	None	38	0.8837	0.0
UBA2103	598171	43.21	6	682	Kaiserbacteria	DCYT00000000	None	None	40	0.9302	0.0
UBA2106	699322	51.15	39	731	Kaiserbacteria	DCYQ00000000	None	None	32	0.7442	0.0
UBA2112	901221	46.74	53	1004	Saccharibacteria	DCYK00000000	None	None	41	0.9535	0.0
UBA2135	815395	39.93	31	883	Parcubacteria	DCXN00000000	None	None	38	0.8837	0.0
UBA2143	546429	36.02	42	623	Portnoybacteria	DCXF00000000	None	None	42	0.9767	0.0
UBA2163	476093	38.14	16	551	Campbellbacteria	DCWL00000000	None	None	42	0.9767	0.0
UBA2196	754364	36.03	18	776	Kuenenbacteria	DCVE00000000	None	None	40	0.9302	0.0
UBA2206	1163385	35.65	79	1267	Moranbacteria	DCUU00000000	None	None	42	0.9767	0.093
UBA2277	746201	39.26	3	829	Collierbacteria	DDWV00000000	None	None	38	0.8837	0.0
UBA2282	948535	36.09	25	978	Moranbacteria	DDWQ00000000	None	None	40	0.9302	0.0
UBA2370	1158800	44.24	3	1184	Gottesmanbacteria	DDTG00000000	None	None	41	0.9535	0.0
UBA2372	746423	43.9	24	817	Falkowbacteria	DDTE00000000	None	None	41	0.9535	0.0233
UBA2420	813862	50.3	39	905	Saccharibacteria	DDRI00000000	None	None	40	0.9302	0.0
UBA2772	1201707	33.6	31	1211	Parcubacteria	DEIO00000000	None	None	41	0.9535	0.0465
UBA2773	886769	32.07	17	870	Parcubacteria	DEIN00000000	None	None	39	0.907	0.0
UBA2951	832115	51.25	5	940	Saccharibacteria	DEBR00000000	None	None	41	0.9535	0.0
UBA3458	699035	46.9	17	770	Kaiserbacteria	DFRR00000000	None	None	41	0.9535	0.0
UBA3466	902885	44.25	4	907	Kaiserbacteria	DFRJ00000000	None	None	41	0.9535	0.0
UBA3524	598288	41.15	35	665	Kaiserbacteria	DFPD00000000	None	None	41	0.9535	0.0
UBA3526	588127	47.93	14	655	Kaiserbacteria	DFPB00000000	None	None	41	0.9535	0.0
UBA3527	552779	42.8	62	583	Kaiserbacteria	DFPA00000000	None	None	38	0.8837	0.0
UBA3530	538530	44.58	17	622	Kaiserbacteria	DFOX00000000	None	None	41	0.9535	0.0
UBA3531	680106	41.97	16	793	Vogelbacteria	DFOW00000000	None	None	41	0.9535	0.0
UBA3533	584240	41.76	14	681	Kaiserbacteria	DFOU00000000	None	None	38	0.8837	0.0
UBA4062	598270	37.96	69	729	Shapirobacteria	DFZG00000000	None	None	35	0.814	0.0
UBA4215	664083	48.18	31	687	Saccharibacteria	DFTJ00000000	None	None	41	0.9535	0.0
UBA4721	726146	47.28	5	769	Saccharibacteria	DHJL00000000	None	None	40	0.9302	0.0
UBA4727	879966	48.7	47	988	Saccharibacteria	DHJF00000000	None	None	39	0.907	0.0
UBA4787	765527	38.07	4	760	Parcubacteria	DHGX00000000	None	None	42	0.9767	0.0
UBA4809	555024	36.69	67	678	Shapirobacteria	DHGB00000000	None	None	35	0.814	0.0
UBA4813	654552	35.96	31	693	Dojkabacteria	DHFX00000000	None	None	39	0.907	0.0233
UBA4824	979487	35.47	77	1064	Moranbacteria	DHFM00000000	None	None	40	0.9302	0.0233
UBA5004	561227	43.37	4	653	Zambryskibacteria	DGYO00000000	None	None	41	0.9535	0.0
UBA5006	780753	55.97	8	876	Kaiserbacteria	DGYM00000000	None	None	41	0.9535	0.0
UBA5007	831293	53.19	6	960	Kaiserbacteria	DGYL00000000	None	None	39	0.907	0.0
UBA5073	637665	40.38	58	733	Woesebacteria	DIAR00000000	None	None	34	0.7907	0.0
UBA5145	1100625	52.35	17	1098	Saccharibacteria	DHXX00000000	None	None	41	0.9535	0.0
UBA5150	696073	53.75	25	800	Saccharibacteria	DHXS00000000	None	None	39	0.907	0.0
UBA5155	596481	42.49	16	707	Nomurabacteria	DHXN00000000	None	None	37	0.8605	0.0
UBA5187	870170	45.1	37	991	Taylorbacteria	DHWH00000000	None	None	39	0.907	0.0
UBA5223	573113	31.32	68	578	Dojkabacteria	DHUX00000000	None	None	35	0.814	0.0
UBA5232	677417	34.11	33	705	Dojkabacteria	DHUO00000000	None	None	36	0.8372	0.0
UBA5272	517061	31.67	6	544	Nomurabacteria	DHTA00000000	None	None	42	0.9767	0.0
UBA5624	861952	36.06	102	967	Parcubacteria	DIKG00000000	None	None	36	0.8372	0.0
UBA5941	949634	41.76	17	1042	Woesebacteria	DJCV00000000	None	None	39	0.907	0.0
UBA6023	901922	41.88	102	946	Lloydbacteria	DIZR00000000	None	None	37	0.8605	0.0
UBA6033	776592	51.41	28	892	Kaiserbacteria	DIZH00000000	None	None	41	0.9535	0.0
UBA6039	849090	45.59	31	937	Saccharibacteria	DIZB00000000	None	None	40	0.9302	0.0
UBA6040	865748	46.5	7	936	Saccharibacteria	DIZA00000000	None	None	39	0.907	0.0
UBA6065	656260	46.19	26	677	Taylorbacteria	DIYB00000000	None	None	37	0.8605	0.0
UBA6130	805012	35.61	78	923	Shapirobacteria	DIVO00000000	None	None	41	0.9535	0.0
UBA6175	717764	50.41	4	782	Saccharibacteria	DITV00000000	None	None	40	0.9302	0.0465
UBA6201	715870	43.75	6	742	Kaiserbacteria	DISV00000000	None	None	40	0.9302	0.0
UBA6209	704560	47.14	26	764	Saccharibacteria	DISN00000000	None	None	41	0.9535	0.0
UBA6223	1042821	50.31	3	1120	Saccharibacteria	DIRZ00000000	None	None	42	0.9767	0.0233
UBA6224	746564	52.74	10	812	Saccharibacteria	DJWS00000000	None	None	40	0.9302	0.0
UBA6241	686384	48.07	5	791	Kaiserbacteria	DJWB00000000	None	None	41	0.9535	0.0
UBA6242	934916	41.55	25	1028	Roizmanbacteria	DJWA00000000	None	None	39	0.907	0.0
UBA6258	790334	48.22	24	894	Saccharibacteria	DJVK00000000	None	None	40	0.9302	0.0233
UBA6264	569667	31.87	44	606	Parcubacteria	DJVE00000000	None	None	40	0.9302	0.0
UBA6534	452944	40.9	16	517	Kaiserbacteria	DJKU00000000	None	None	40	0.9302	0.0
UBA6539	900389	36.49	86	999	Buchananbacteria	DJKP00000000	None	None	38	0.8837	0.0
UBA6572	898610	51.12	3	998	Saccharibacteria	DJJI00000000	None	None	41	0.9535	0.0
UBA6580	1250226	47.31	6	1256	Gottesmanbacteria	DJJA00000000	None	None	41	0.9535	0.0
UBA6664	934658	47.11	6	1007	Saccharibacteria	DKKO00000000	None	None	41	0.9535	0.0
UBA6824	645328	50.22	6	709	Saccharibacteria	DKEK00000000	None	None	41	0.9535	0.0
UBA6899	891278	53.91	58	980	Lloydbacteria	DKBN00000000	None	None	39	0.907	0.0233
UBA7683	766937	41.48	92	909	Saccharibacteria	DLGX00000000	None	None	38	0.8837	0.0
candidate_division_WWE3_bacterium_RBG_19FT_COMBO_34_6	809340	33.13	53	983	WWE3	MEUV00000000	SAMN04313670	None	34	0.7907	0.0
candidate_division_WWE3_bacterium_RBG_19FT_COMBO_53_11	659365	51.43	24	783	WWE3	MEUW00000000	SAMN04313675	None	35	0.814	0.0
Candidatus_Woesebacteria_bacterium_RBG_19FT_COMBO_37_29	564497	36.22	34	632	Woesebacteria	MGFY00000000	SAMN04313676	None	39	0.907	0.0
candidate_division_Kazan_bacterium_RBG_13_50_9	625726	50.52	7	597	Kazan	META00000000	SAMN04313689	None	40	0.9302	0.0
Candidatus_Portnoybacteria_bacterium_RBG_13_40_8	690498	36.97	33	766	Portnoybacteria	MHMT00000000	SAMN04313690	None	41	0.9535	0.0
Candidatus_Berkelbacteria_bacterium_RBG_13_40_8	839957	38.3	33	895	Berkelbacteria	MEZT00000000	SAMN04313692	None	36	0.8372	0.0
Candidatus_Nealsonbacteria_bacterium_RBG_13_37_56	542599	35.61	39	587	Nealsonbacteria	MHLW00000000	SAMN04313693	None	35	0.814	0.0
Candidatus_Woesebacteria_bacterium_RBG_16_39_8b	598914	37.3	67	767	Woesebacteria	MGFU00000000	SAMN04313701	None	33	0.7674	0.0
Candidatus_Abawacabacteria_bacterium_RBG_16_42_10	1095595	41.12	28	1102	Abawacabacteria	MEWR00000000	SAMN04313702	None	41	0.9535	0.0
Candidatus_Woesebacteria_bacterium_RBG_16_42_24	873092	42.21	7	965	Woesebacteria	MGFX00000000	SAMN04313718	None	38	0.8837	0.0
Candidatus_Gottesmanbacteria_bacterium_RBG_16_37_8	1307812	36.98	84	1469	Gottesmanbacteria	MFJA00000000	SAMN04313735	None	35	0.814	0.0
Candidatus_Woesebacteria_bacterium_RBG_16_41_13	1113300	41.67	19	1302	Woesebacteria	MGFW00000000	SAMN04313736	None	39	0.907	0.0
Candidatus_Levybacteria_bacterium_RBG_16_35_11	1232512	35.14	72	1525	Levybacteria	MFNH00000000	SAMN04313743	None	38	0.8837	0.0
Microgenomates_group_bacterium_RBG_16_45_19	1369768	47.68	45	1484	Microgenomates	MHDC00000000	SAMN04313745	None	39	0.907	0.0233
candidate_division_WWE3_bacterium_RBG_16_37_10	1056791	36.1	79	1120	WWE3	MEUT00000000	SAMN04313753	None	37	0.8605	0.0
Candidatus_Nomurabacteria_bacterium_RIFCSPHIGHO2_02_40_30	713856	39.27	16	801	Nomurabacteria	MFTV00000000	SAMN04313771	None	41	0.9535	0.0
Candidatus_Giovannonibacteria_bacterium_RIFCSPHIGHO2_02_43_16	644067	43.88	53	808	Giovannonibacteria	MFHJ00000000	SAMN04313778	None	39	0.907	0.0
Candidatus_Zambryskibacteria_bacterium_RIFCSPHIGHO2_02_38_10.5	672473	38.65	46	800	Zambryskibacteria	MHVL00000000	SAMN04313779	None	41	0.9535	0.0
Candidatus_Terrybacteria_bacterium_RIFCSPHIGHO2_02_41_19	456892	40.99	42	548	Terrybacteria	MHSU00000000	SAMN04313780	None	35	0.814	0.0
Candidatus_Taylorbacteria_bacterium_RIFCSPLOWO2_02_50_13	974506	49.7	61	1070	Taylorbacteria	MHSC00000000	SAMN04313786	None	39	0.907	0.0
Candidatus_Curtissbacteria_bacterium_RIFCSPLOWO2_02_41_11	1078522	39.92	25	1178	Curtissbacteria	MFBU00000000	SAMN04313791	None	43	1.0	0.0
candidate_division_CPR3_bacterium_GWF2_35_18	1136163	34.97	10	1122	CPR3	MESW00000000	SAMN04313865	None	39	0.907	0.0
candidate_division_CPR2_bacterium_GWD2_39_7	1072912	38.78	58	1172	Howlettbacteria	MESU00000000	SAMN04313947	None	42	0.9767	0.0
